,AProve,irankfinder v1.3.2,Ultimate Automizer,muval_dt_eager_nu_parallel_from_c,muval_dt_lazy_parallel_thr_from_c,AProve result,irankfinder v1.3.2 result,Ultimate Automizer result,muval_dt_eager_nu_parallel_from_c result,muval_dt_lazy_parallel_thr_from_c result
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c,12.04915118,4.565639973,6.500353098,301.0869641,301.0988772,NO,NO,NO,MAYBE,MAYBE
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,2.595507145,6.473376036,6.833807945,2.4570539,2.169395208,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c,2.328264952,3.647197008,6.924277067,3.646945,3.509711981,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,2.08738184,5.526327133,6.783428192,6.814488173,6.722635031,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c,1.962476969,3.738300085,10.04475689,0.8501629829,0.8724620342,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c,3.270275116,8.116558075,18.87600017,11.03787589,28.85921693,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c,2.475793123,6.441261053,6.869840145,2.399877071,3.882066011,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Choose.c,4.001171112,25.79720783,5.883671045,1.175835848,1.276555061,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/ChooseLife.c,3.680794001,54.80883718,41.05497384,1.119125128,1.259603024,NO,MAYBE,MAYBE,NO,NO
C_Integer/Stroeder_15/collatz.c,301.0569859,299.0702009,5.568813801,301.0484681,301.0494339,TIMEOUT,MAYBE,MAYBE,MAYBE,MAYBE
C_Integer/Stroeder_15/ColonSipma-TACAS2001-Fig1_true-termination.c,2.079066038,3.384185076,21.54174709,10.43804502,10.47834682,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ComplInterv.c,17.56291914,26.96686697,14.54529905,2.577706099,2.306356192,MAYBE,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/ComplInterv2.c,2.989488125,10.34437084,5.743942976,0.9005980492,0.8608350754,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/ComplInterv3.c,3.062398911,7.389206171,13.81668186,4.502733946,3.733780146,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/ComplxStruc.c,10.70992303,299.068321,16.16696215,171.028934,154.1236801,MAYBE,MAYBE,NO,NO,NO
C_Integer/Stroeder_15/ConvLower.c,3.116488934,3.907359838,14.44165397,0.7331111431,0.5507318974,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/CookSeeZuleger-TACAS2013-Fig1_true-termination.c,2.811663866,13.43109703,7.842307091,0.8966529369,0.9565560818,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/CookSeeZuleger-TACAS2013-Fig7a_true-termination.c,2.80308485,24.52267098,9.340741158,1.456805944,1.323872805,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,3.027565956,131.909142,9.752505064,1.311462879,1.423265934,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination.c,3.286814928,9.350879908,5.623006821,1.306946993,1.302918911,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/CookSeeZuleger-TACAS2013-Fig8a_true-termination.c,3.495674849,8.494642019,8.062052011,0.8875701427,0.731194973,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/CookSeeZuleger-TACAS2013-Fig8b_true-termination.c,6.785269022,8.829397917,5.584697008,1.913116932,1.837660074,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/Copenhagen_true-termination.c,2.087651968,2.6953969,6.941614866,0.8538041115,0.8566529751,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Cousot.c,3.171486139,4.698719978,6.5314641,0.4400680065,0.2922840118,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/DivMinus.c,2.206212044,2.692967892,6.717507839,0.5888261795,0.5979120731,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/DivMinus2.c,3.78451705,33.08427215,5.583532095,4.486892939,3.304205894,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/DivWithoutMinus.c,9.247416019,143.971411,8.429576874,301.0550859,301.0691571,NO,NO,NO,MAYBE,MAYBE
C_Integer/Stroeder_15/DoubleNeg.c,301.047761,19.62914109,15.47514606,301.043124,301.056087,TIMEOUT,NO,MAYBE,MAYBE,MAYBE
C_Integer/Stroeder_15/easy1_true-termination.c,2.676574945,2.520768166,6.650871038,0.8737568855,0.8490419388,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/easy2_true-termination.c,2.305201054,2.488775969,6.766524076,1.022415876,0.9992668629,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Et1.c,2.479884863,3.215771914,6.752411842,1.57337904,1.598193884,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Et2.c,4.92566514,56.22483802,5.690709114,301.0647521,1.425703049,NO,MAYBE,NO,MAYBE,NO
C_Integer/Stroeder_15/Et4.c,12.28039002,41.94207001,5.671722889,15.16175699,10.770432,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Even.c,3.329838037,3.355242968,5.74846983,1.320233107,1.175966978,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/Ex01.c,2.668303013,2.342797041,6.62159586,1.169166088,1.017926931,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Ex02.c,2.915084839,3.957742214,6.739945889,0.756000042,0.6114430428,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Ex03.c,3.032366991,3.846396208,7.187892914,0.6936042309,0.7073950768,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Ex04.c,2.619257927,1.682718039,6.395308018,0.4357070923,0.2948229313,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Ex05.c,2.229140997,1.447212934,5.439015865,0.2875809669,0.304374218,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Ex06.c,9.369302034,5.76926589,6.312702894,0.8811099529,0.8751840591,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Ex07.c,3.144438028,3.40103817,6.842999935,0.6206018925,0.4316530228,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Ex08.c,16.89692998,299.009418,101.17465,4.729445934,32.49390483,NO,MAYBE,NO,NO,NO
C_Integer/Stroeder_15/Factorial.c,301.162698,21.92101693,14.83462095,301.0659561,301.0862629,TIMEOUT,NO,MAYBE,MAYBE,MAYBE
C_Integer/Stroeder_15/Fibonacci.c,3.40238905,58.65204096,13.28421807,301.071121,301.0674839,NO,MAYBE,MAYBE,MAYBE,MAYBE
C_Integer/Stroeder_15/Flip.c,3.041263819,4.524919033,7.547735929,0.4420280457,0.5754821301,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Flip2.c,8.204403162,88.64210606,9.71052599,1.188680172,1.179021835,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Gauss.c,3.494161129,3.376246929,6.595242977,1.283607006,0.9785561562,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/GCD.c,3.698430061,20.02658606,5.921123981,0.8805599213,0.8938210011,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/gcd1_true-termination.c,4.007847071,5.347092152,9.254026175,1.276009798,1.30429697,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/GCD2.c,3.566771984,12.23070908,5.649461985,0.9980158806,0.8844628334,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/GCD3.c,4.873740911,7.553122997,5.663408995,3.35726285,3.121691942,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/GCD4.c,2.846715212,3.984531879,5.557385921,0.8369848728,0.8262741566,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/genady_true-termination.c,2.050163984,1.816026926,6.57976985,1.159562111,1.022070169,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/GopanReps-CAV2006-Fig1a_true-termination.c.c,3.422047138,2.925286055,7.550415039,1.136439085,1.133150101,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Gothenburg_true-termination.c,10.02489901,4.954515934,11.30029798,0.8935139179,0.8576190472,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/GulavaniGulwani-CAV2008-Fig1a_true-termination.c,2.394812107,7.099402905,9.764993906,5.425405979,5.752497196,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/GulavaniGulwani-CAV2008-Fig1b_true-termination.c,2.359718084,5.249644995,7.522899151,2.453883886,2.452373028,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/GulavaniGulwani-CAV2008-Fig1c_true-termination.c,1.872778893,2.93503809,6.639740944,1.011487961,0.9918920994,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,301.0330961,32.06872511,10.42046309,301.0383461,301.0222161,TIMEOUT,YES,YES,MAYBE,MAYBE
